,Group,Point,mean_rank,measures
200,ST057,L1002,100.0,2
201,ST057,L1004,85.5,2
202,ST057,L1005,74.0,2
203,ST057,L1017,51.0,2
204,ST057,L1021,42.5,2
205,ST057,L1063,83.5,2
206,ST059,L0835,67.0,2
207,ST059,L1002,47.0,2
208,ST059,L1004,54.5,2
209,ST059,L1005,46.0,2
210,ST059,L1021,37.0,2
211,ST059,L1061,64.5,2
212,ST059,L1062,66.5,2
213,ST059,L1063,55.5,2
214,ST059,L1104,92.5,2
215,ST059,L1105,62.5,2
216,ST64,L0826,50.5,2
217,ST64,L0835,77.0,2
218,ST64,L0907,39.5,2
219,ST64,L1002,72.5,2
220,ST64,L1004,121.5,2
221,ST64,L1005,89.0,2
222,ST64,L1017,85.0,2
223,ST64,L1021,126.5,2
224,ST64,L1063,44.0,2
225,ST64,R108,24.0,2
226,ST55,L0411,34.5,2
227,ST55,L0606,26.5,2
228,ST55,L0607,19.5,2
229,ST55,L0608,21.5,2
230,ST55,L0609,10.5,2
231,ST55,L0610,23.5,2
232,ST55,L0611,26.5,2
233,ST55,L0612,35.0,2
234,ST55,L0613,37.0,2
235,ST55,L0615,40.0,2
236,ST55,L0616,12.0,2
237,ST55,L0704,25.5,2
238,ST55,R060,44.0,2
239,ST59,F0802,40.5,2
240,ST59,L0608,31.5,2
241,ST59,L0609,33.0,2
242,ST59,L0610,54.5,2
243,ST59,L0611,36.0,2
244,ST59,L0703,66.0,2
245,ST59,L0704,85.5,2
246,ST59,L0708,93.0,2
247,ST59,R060,33.5,2
248,ST59,R073,33.0,2
249,ST59,R079,33.0,2
250,ST54,F0604,105.5,2
251,ST54,F0605,104.0,2
252,ST54,F0702,55.0,2
253,ST54,L0411,31.0,2
254,ST54,L0608,37.5,2
255,ST54,L0609,50.0,2
256,ST54,L0610,35.0,2
257,ST54,L0612,115.5,2
258,ST54,L0613,114.5,2
259,ST54,R060,55.5,2
260,ST54,R064,73.5,2
261,ST54,R067,54.0,2
262,ST54,R068,56.5,2
263,ST56,F0702,77.0,2
264,ST56,F0903,35.5,2
265,ST56,F0904,47.0,2
266,ST56,L0411,32.5,2
267,ST56,L0606,8.5,2
268,ST56,L0607,38.0,2
269,ST56,L0608,22.5,2
