,Group,Point,mean_rank,measures
882,ST86,F0705,46.5,2
883,ST86,L0404,37.0,2
884,ST86,L0412,28.5,2
885,ST86,R046,36.0,2
886,ST86,R048,30.5,2
887,ST031,L0606,19.0,2
888,ST031,L0608,28.0,2
889,ST031,L0609,31.5,2
890,ST031,L0610,19.0,2
891,ST031,L0611,20.5,2
892,ST031,L0720,21.5,2
893,ST031,L0722,21.0,2
894,ST032,L0606,35.5,2
895,ST032,L0608,35.5,2
896,ST032,L0609,18.5,2
897,ST032,L0610,39.0,2
898,ST032,L0611,22.5,2
899,ST032,L0720,47.5,2
900,ST032,L0722,45.0,2
901,ST048,L0730,11.0,2
902,ST078,L0730,25.5,2
903,ST66,L0835,47.0,2
904,ST66,R103,25.5,2
905,ST66,R107,20.5,2
906,ST66,R108,25.0,2
907,ST033,L0720,81.5,2
908,ST033,L0722,73.5,2
909,ST75,F0101,54.5,2
910,ST75,F0102,48.0,2
911,ST75,R004,39.0,2
912,ST75,R107,69.5,2
913,ST75,R108,49.5,2
914,ST75,R1114,34.0,2
915,ST073,L0101,49.5,2
916,ST073,L1229,18.0,2
917,ST074,L0105,81.5,2
918,ST074,L1229,82.5,2
919,ST054,L0828,38.0,2
920,ST055,L0828,53.0,2
921,ST060,L1041,52.5,2
922,ST068,L1298,60.5,2
923,ST069,L1298,21.0,2
924,ST037,L1017,50.5,2
925,ST064,L1061,17.5,2
