,Group,Point,mean_rank,measures
505,ST016,R073,48.5,2
507,ST016,R079,34.0,2
508,ST016,R083,31.5,2
509,ST016,R085,24.0,2
510,ST017,F0704,28.0,2
511,ST017,F0802,42.5,2
512,ST017,F0903,38.0,2
513,ST017,F0904,10.5,2
514,ST017,R064,34.5,2
515,ST017,R067,18.0,2
516,ST017,R068,17.5,2
517,ST017,R073,64.5,2
506,ST016,R078,44.5,2
653,ST007,R035,64.5,2
655,ST007,R045,99.5,2
438,ST005,R029,47.0,2
793,ST102,L0404,69.0,2
794,ST102,L0412,44.5,2
795,ST071,L0111,48.0,2
796,ST071,L1229,27.5,2
797,ST071,L1233,33.5,2
798,ST071,L1298,44.0,2
799,ST072,L0111,49.5,2
800,ST072,L1229,30.0,2
801,ST072,L1233,33.0,2
802,ST072,L1298,16.5,2
803,ST82,F0402,35.0,2
804,ST82,L0111,31.5,2
805,ST82,L0211,26.5,2
806,ST82,L0302,44.5,2
807,ST82,R033,39.5,2
808,ST82,R046,28.5,2
809,ST053,L0738,18.5,2
810,ST053,L0822,71.5,2
811,ST053,L0828,49.5,2
812,ST049,L0738,16.0,2
813,ST049,L0741,20.5,2
814,ST077,L0741,27.0,2
815,ST061,L1027,33.5,2
792,ST102,L0402,64.5,2
816,ST061,L1041,94.5,2
791,ST102,L0305,76.5,2
789,ST102,L0302,43.5,2
766,ST51,L1207,34.0,2
767,ST51,L1208,57.5,2
768,ST058,L0823,29.5,2
769,ST058,L0825,79.0,2
770,ST058,L0826,45.0,2
771,ST058,L0835,45.0,2
772,ST058,L0901,78.0,2
773,ST058,L0902,109.5,2
774,ST058,L0907,59.5,2
775,ST066,L1041,56.0,2
776,ST066,L1044,112.5,2
777,ST067,L1041,14.5,2
778,ST067,L1044,50.0,2
779,ST067,L1124,53.0,2
780,ST65,L0826,39.5,2
781,ST65,L0835,60.5,2
782,ST65,L0907,34.0,2
783,ST65,L1063,14.5,2
784,ST65,R103,17.5,2
785,ST65,R108,20.0,2
786,ST102,L0209,117.5,2
787,ST102,L0210,109.5,2
788,ST102,L0211,84.5,2
790,ST102,L0304,96.5,2
765,ST51,L1206,33.0,2
817,ST062,L1027,19.0,2
819,ST72,F1104,59.5,2
847,ST032,L0611,22.5,2
848,ST032,L0720,47.5,2
849,ST032,L0722,45.0,2
850,ST048,L0730,11.0,2
851,ST078,L0730,25.5,2
852,ST66,L0835,47.0,2
853,ST66,R103,25.5,2
854,ST66,R107,20.5,2
855,ST66,R108,25.0,2
856,ST033,L0720,81.5,2
