,Group,Point,m_distance,rank,measures
570,ST015,F0903,2868.1494494169983,15.0,2.0
576,ST015,F0802,8722.300417424867,24.0,2.0
582,ST015,R085,5745.6193483951965,25.5,2.0
583,ST015,R083,4664.010742852675,41.5,2.0
584,ST015,R078,7804.092563273202,52.5,2.0
585,ST015,R073,10401.427009197923,35.5,2.0
590,ST015,U08F11,9373.204030018458,15.0,2.0
621,ST016,R079,2689.3170443855765,34.0,2.0
625,ST016,R068,5861.270845472184,30.0,2.0
628,ST016,F0702,12037.434670642988,15.0,2.0
631,ST016,F0802,5541.340790815885,25.5,2.0
637,ST016,F0903,4699.991310041954,28.5,2.0
638,ST016,F0904,5796.899996238731,22.5,2.0
643,ST016,R073,7256.27350201373,48.5,2.0
644,ST016,R078,5639.327659726947,44.5,2.0
645,ST016,R083,4334.368364045068,31.5,2.0
646,ST016,R085,7924.147408277818,24.0,2.0
669,ST016,U08F11,6181.009824719463,19.0,2.0
674,ST017,R068,2411.733326887505,17.5,2.0
676,ST017,R079,5280.164907850652,38.5,2.0
681,ST017,R069,3237.398187884119,17.5,2.0
682,ST017,R067,3238.244221565323,18.0,2.0
683,ST017,F0702,8534.401562245104,31.0,2.0
686,ST017,F0704,5934.128758659485,28.0,2.0
688,ST017,F0802,3047.667350298797,42.5,2.0
694,ST017,F0903,8131.692834439509,38.0,2.0
695,ST017,F0904,9299.520550479205,10.5,2.0
714,ST017,U08F11,2987.429593456847,17.0,2.0
719,ST017,U08F8,4420.082635978279,26.5,2.0
725,ST017,R078,6095.878847729295,38.5,2.0
727,ST017,R083,7011.943272063757,48.0,2.0
728,ST017,R073,4791.880871081202,64.5,2.0
729,ST017,R064,10218.48331532163,34.5,2.0
732,ST018,R061,3874.901919127034,34.5,2.0
733,ST018,R060,3726.604538575707,24.5,2.0
734,ST018,R069,1143.3128177871542,72.0,2.0
735,ST018,R067,1144.6073080562242,89.5,2.0
736,ST018,R068,1075.7840179788907,73.5,2.0
739,ST018,R079,8126.666168445844,9.0,2.0
745,ST018,F0604,9495.553508009363,14.0,2.0
746,ST018,F0605,9553.634180682186,6.0,2.0
748,ST018,F0702,5536.387550418447,9.0,2.0
750,ST018,F0704,3031.8519432158196,34.5,2.0
751,ST018,F0705,3175.3638394975324,29.5,2.0
752,ST018,F0802,3100.237384456935,51.0,2.0
759,ST018,F0903,11098.433025849963,19.5,2.0
761,ST018,F0904,12308.038993181364,17.0,2.0
762,ST018,R085,14261.887942899077,28.5,2.0
764,ST018,R083,9682.268956575124,23.5,2.0
765,ST018,R078,7717.09609087994,26.5,2.0
766,ST018,R064,7207.287672306883,9.0,2.0
767,ST018,R059,10956.925761296368,22.0,2.0
775,ST018,U08F8,1629.8883350140384,75.0,2.0
780,ST018,U08F11,1684.8459631241317,77.5,2.0
785,ST019,R067,3021.3571509183776,33.5,2.0
786,ST019,R069,3022.2153122161308,25.5,2.0
791,ST019,R060,1423.5106099593092,45.0,2.0
792,ST019,R061,1780.8869015363723,79.5,2.0
797,ST019,F0705,3605.4484466031217,23.5,2.0
798,ST019,F0704,3337.677219278943,14.0,2.0
801,ST019,F0702,3111.0215630311204,22.5,2.0
802,ST019,F0605,6176.516280173298,29.0,2.0
803,ST019,F0604,6085.006215911309,23.5,2.0
808,ST019,R052,11835.181715435425,16.5,2.0
809,ST019,R059,7912.726161174588,42.5,2.0
810,ST019,R064,4863.455440519983,28.0,2.0
812,ST019,R078,11219.03922568171,12.5,2.0
813,ST019,U08F11,5004.949020131208,28.5,2.0
816,ST019,U08F8,3489.0776293623467,11.5,2.0
826,ST020,R061,3324.3720322561903,11.0,2.0
827,ST020,R060,3145.218435321002,27.0,2.0
828,ST020,R067,5735.643437027854,34.5,2.0
829,ST020,R069,5736.62522651847,43.5,2.0
836,ST020,F0503,11086.10944839974,28.0,2.0
838,ST020,F0505,9703.775421914424,28.5,2.0
842,ST020,F0604,3681.455905063654,28.5,2.0
843,ST020,F0605,3848.425197363416,37.5,2.0
845,ST020,F0702,3493.1727689562,33.0,2.0
847,ST020,F0704,5639.22737347194,31.5,2.0
848,ST020,F0705,5876.783197934344,25.5,2.0
852,ST020,R078,14038.96679690636,21.5,2.0
854,ST020,R064,4583.30869783665,43.0,2.0
855,ST020,R059,6077.584380280732,43.0,2.0
856,ST020,R052,9026.229431357628,32.5,2.0
857,ST020,R045,11175.065148201295,27.0,2.0
869,ST020,U08F8,6193.855593769035,30.5,2.0
875,ST021,R060,6373.147157653516,26.5,2.0
876,ST021,R061,6464.943577086596,31.0,2.0
877,ST021,R067,9136.15549297045,27.5,2.0
878,ST021,R069,9137.243331033415,25.5,2.0
881,ST021,R048,3620.3904228500332,29.0,2.0
882,ST021,R046,3616.629592166842,28.5,2.0
885,ST021,F0503,7619.126819005789,29.5,2.0
887,ST021,F0505,6202.6129510762175,41.5,2.0
891,ST021,F0604,2940.0695108443083,39.0,2.0
892,ST021,F0605,3206.4834183515663,39.0,2.0
894,ST021,F0702,6304.650561964675,35.5,2.0
896,ST021,F0705,9236.293735333722,17.5,2.0
897,ST021,F0704,9017.611837619705,26.0,2.0
902,ST021,U08F8,9683.334870817638,16.0,2.0
910,ST021,R064,6586.592573479871,38.0,2.0
911,ST021,R059,5611.378858876359,45.5,2.0
913,ST021,R052,5659.850506063058,47.5,2.0
914,ST021,R045,7683.754742913314,22.0,2.0
919,ST022,R048,1662.3159705700052,59.0,2.0
921,ST022,R046,1666.4785060071433,73.5,2.0
922,ST022,R035,8468.471064726738,31.0,2.0
925,ST022,F0402,12164.619789515398,35.0,2.0
929,ST022,F0503,3903.350979533564,21.5,2.0
931,ST022,F0505,2578.969333918047,28.5,2.0
935,ST022,F0604,5786.088565104635,27.0,2.0
936,ST022,F0605,5986.138839106095,40.0,2.0
937,ST022,F0702,9927.505728873446,20.5,2.0
940,ST022,F0704,12732.07957459606,29.0,2.0
941,ST022,F0705,12948.246216872949,23.5,2.0
946,ST022,U08F8,13386.002329747822,22.5,2.0
950,ST022,R059,7687.248559772305,32.0,2.0
952,ST022,R052,3038.6528263235564,23.0,2.0
953,ST022,R045,4176.774660506635,27.0,2.0
961,ST023,R035,4754.030195467319,30.5,2.0
962,ST023,R028,8347.944891654019,40.0,2.0
963,ST023,R030,8430.031690271879,38.5,2.0
966,ST023,R046,3553.3174424533136,27.0,2.0
967,ST023,R048,3546.171923593772,33.5,2.0
970,ST023,F0605,9841.325279240611,28.5,2.0
971,ST023,F0604,9620.109656279528,37.5,2.0
975,ST023,F0505,3686.8847128694024,13.5,2.0
977,ST023,F0503,2943.018241172651,43.5,2.0
983,ST023,F0402,8225.088284922229,31.0,2.0
986,ST023,R033,9878.655805350822,32.5,2.0
988,ST023,R045,4712.580342381151,24.0,2.0
989,ST023,R052,5784.319656879825,23.0,2.0
990,ST023,R059,11642.076188516148,43.0,2.0
996,ST024,R035,2090.0674381306053,53.5,2.0
998,ST024,R030,5370.559274543816,46.5,2.0
999,ST024,R028,5241.303593019101,54.5,2.0
1000,ST024,R048,6486.274559311643,16.5,2.0
1001,ST024,R046,6491.984415883389,20.0,2.0
1002,ST024,F0605,12925.03832524764,15.0,2.0
1003,ST024,F0604,12692.649413720696,30.5,2.0
1007,ST024,F0505,6613.276740924695,14.5,2.0
1009,ST024,F0503,5318.4489052470535,34.0,2.0
1016,ST024,F0402,5189.961216735795,46.5,2.0
1020,ST024,F0302,11462.321442590011,26.5,2.0
1021,ST024,R024,13132.011924553633,21.0,2.0
1023,ST024,R033,6917.600855572572,28.0,2.0
1024,ST024,R038,5814.072157612711,39.5,2.0
1025,ST024,R045,7201.140933179929,13.0,2.0
1026,ST024,R052,8820.664276112915,18.0,2.0
1029,ST025,R046,9156.958744863006,26.5,2.0
1030,ST025,R048,9151.086382615793,35.5,2.0
1031,ST025,R027,3624.5216144618844,102.0,2.0
1032,ST025,R028,2806.5140566955183,109.5,2.0
1033,ST025,R029,3628.3468748924342,88.0,2.0
1034,ST025,R030,3037.473344866973,83.5,2.0
1038,ST025,F0302,8844.353613669933,47.5,2.0
1043,ST025,F0402,2817.9264133328707,79.5,2.0
1049,ST025,F0503,7791.354147557907,20.0,2.0
1051,ST025,F0505,9232.858110023073,33.0,2.0
1055,ST025,F0604,15373.86305486458,39.5,2.0
1056,ST025,F0605,15610.915492766655,30.0,2.0
1057,ST025,R024,10477.946573742878,40.5,2.0
1060,ST025,R033,4578.8977981303415,32.5,2.0
1061,ST025,R038,5628.196554366515,100.5,2.0
1063,ST025,R045,9625.235541649236,64.0,2.0
1064,ST025,R052,11463.357764469834,63.5,2.0
1065,ST025,R059,17530.414009086835,31.0,2.0
1066,ST026,R078,17019.204616385832,105.5,2.0
1068,ST026,R083,15917.801603048167,81.5,2.0
1079,ST026,F0702,14113.380342228786,34.0,2.0
1081,ST026,F0604,14225.039902803623,29.5,2.0
1082,ST026,F0605,14475.579442576318,29.5,2.0
1083,ST026,R064,15635.733447875722,98.5,2.0
1084,ST026,R059,16968.00855114739,111.5,2.0
1085,ST026,R024,17310.22029308562,126.5,2.0
1089,ST026,F0302,15785.152843377575,40.5,2.0
1091,ST027,R024,10613.714221822665,120.5,2.0
1097,ST027,F0302,9152.036125513923,38.5,2.0
1099,ST027,R078,23736.874525718606,124.0,2.0
1100,ST027,R083,22586.48842750845,100.0,2.0
1108,ST028,F0903,10223.59416562777,49.5,2.0
1109,ST028,R083,10831.077963348307,106.5,2.0
1110,ST028,R078,11651.803937455796,157.0,2.0
1112,ST028,F0604,12760.261714865937,48.0,2.0
1117,ST028,R024,22614.76156651858,141.0,2.0
1118,ST029,F0604,9411.463525372232,15.0,2.0
1119,ST029,F0605,9646.909424418276,29.0,2.0
1120,ST029,F0702,9086.786689165898,26.5,2.0
1129,ST029,R059,12096.580336942898,163.5,2.0
1130,ST029,R064,10587.227202899225,137.0,2.0
1131,ST029,F0903,14328.176417437851,43.5,2.0
1132,ST029,R085,17387.427304760902,151.0,2.0
1144,ST91,L0742,7999.267766341466,35.0,2.0
1145,ST91,L0729,8688.077577070659,42.0,2.0
1158,ST87,L0820,2128.244336722049,21.0,2.0
1159,ST87,L0742,6009.149781265209,19.5,2.0
1160,ST87,L0729,6750.929917827527,16.0,2.0
1161,ST87,L0730,9716.033236867434,56.5,2.0
1173,ST88,L0820,4001.9676462050666,30.0,2.0
1174,ST88,L0738,12693.621054463096,41.0,2.0
1181,ST89,L0820,2011.196874006735,39.0,2.0
1182,ST89,L0808,4368.005900457491,63.0,2.0
1183,ST89,L0803,8687.269610559508,73.0,2.0
1184,ST89,L0804,8510.752606134645,65.0,2.0
1185,ST89,L0806,6727.800284688804,68.0,2.0
